Galaxy,EWCII,ErrEWCII,EWSiIIabs,ErrEWSiIIabs,EWSiIIemi,ErrEWSiIIemi,VminCII,ErrVminCII,VminSiII,ErrVminSiII
UDS203722_P4M2Q1_P4M1Q1_P4M4Q1_P4M3Q1_008_1,1.3474065111708344,0.5700380608312308,1.164133281884839,0.5958347723960344,-1.0547301119173107,0.3003518108948873,6.705184723590888,203.1131403540919,-5.536853191082518,184.5136874849636
CDFS002584_P1M1Q4_P1M2Q4_P1M3Q4_P1M4Q4_021_2,1.4495626009558196,0.4330180970824924,-0.03552821522702221,0.6484468421359861,0.5922063301936886,0.4272942092199132,-354.109651060723,61.58750077051867,-457.43748753589233,137.5266861517028
CDFS015555_P4M2Q1_P4M3Q1_006_1,2.2816657613909164,0.35438941329051166,2.5743106188002205,1.5102442530217233,-0.0994771656729162,0.6259136264983408,-99.04981164076729,131.69863789435982,-198.72788313079047,392.0063363701036
UDS015507_P2M1Q1_P2M2Q1_P2M3Q1_P2M4Q1_004_2,0.3406365544190316,0.510349099206628,0.058097727393204956,0.47884668500006244,-0.711397734645234,0.26519236279265057,-331.20558237098857,355.66328183806655,-802.5788249842838,646.5711146936247
UDS303309_P2M1Q3_P2M2Q3_P2M3Q3_P2M4Q3_011_1,-1.257794831410478,0.9540033741479831,0.8558795254563054,0.9325390944855337,-1.3662765868823519,0.5203098446875389,124.43136170033702,160.28454958863907,127.46381644762299,452.7362705152151
CDFS025828_P2M3Q2_P2M4Q2_013_1,-0.06324068103867277,0.5664751386010555,1.4810087925576958,0.6101792931705367,0.25306735994576535,0.42692571520625694,-63.25068234806057,308.18111135945645,-243.18060260582652,190.94772275454645
UDS002096_P2M1Q4_P2M2Q4_002_2,2.9054110528302832,0.4210538190046117,2.028763384752823,0.4707026955099449,-0.40670585658264147,0.38931158366048013,63.81132646807313,131.54973855291857,-11.341352777452963,243.43922321017425
UDS013500_P2M1Q1_P2M4Q1_P3M1Q2_P3M2Q2_002_1,0.0674705313204213,0.6497079809122969,0.8964877346624927,0.48418436663276065,0.380756532143509,0.32947609589204463,-188.91576439109733,210.47830374971792,-538.4101057077129,139.68289558316414
UDS151133_P1M2Q4_020_2,1.844786554641927,0.5246401116389421,0.9180516209655127,0.6510063371993184,0.4447435152023351,0.3411801719622094,-190.93037108930136,530.1142330171397,-580.1288923838665,405.35449050659844
UDS026287_P1M3Q2_P4M4Q1_P1M1Q2_P1M4Q2_P1M2Q2_001_2,3.3105933381427795,0.43450332177527945,1.6599304450363346,0.564280902104395,-0.60633089604075,0.38144044799179117,-131.57700356018213,138.28438299896666,17.837242845147546,160.02767243957405
UDS026179_P2M3Q2_P2M4Q2_015_1,0.9359951523344627,0.5138959847682901,2.6966495531923607,0.5711865868095322,-0.5000487525041504,0.33047805081651627,-221.23033409744863,128.4971681675831,-321.7063052402317,158.55451592907966
CDFS006417_P2M4Q4_P4M3Q4_P4M2Q4_P4M4Q4_P4M1Q4_001_1,1.1483563438218882,0.4082970461795093,1.9136412646292003,0.4203487072062154,-0.250217924373774,0.23320934293052042,179.22535875264066,306.6006692564846,463.4694756257404,247.1256120372611
CDFS208015_P2M1Q4_P2M2Q4_P2M3Q4_P2M4Q4_002_2,1.6129365530153257,0.6404519264885421,1.0761396539098835,0.7704086804624664,-1.7892376696976193,0.5405394637109625,64.15680163648284,109.20297765298147,-9.924191017432134,305.1047054892379
